firstname,middlename,lastname,qualifier,title,role,organization,rank
Bob,,Morris,,,reported,,1
Randy,,Cohen,,,reported,,1
Will,,Self,,,reported,,1
Clyde,,Haberman,,,reported,,1
Mark,,Derr,,,reported,,1
Roy,,FURCHGOTT,,,reported,,1
Jere,,Longman,,,reported,,1
Ruth,Andrew,Ellenson,,,reported,,1
Jackson,,Lears,,,reported,,1
Kim,,Severson,,,reported,,1
Andrew,,Martin,,,reported,,2
Sara,,Mosle,,,reported,,1
Natalie,,Proulx,,,reported,,1
Joel,,Keller,,,reported,,1
Claude,,Brown,,,reported,,1
Leah,Hager,Cohen,,,reported,,1
Linda,,Greenhouse,,,reported,,1
Alfred,,Appel,Jr,,reported,,1
Butler,E.,Brewton,,,reported,,1
Paul,,Krugman,,,reported,,1
Tom,,Kuntz,,,reported,,1
Timothy,,Egan,,,reported,,1
Stephanie,,Goodman,,,reported,,1
Alberto,,Cairo,,,reported,,1
Tala,,Schlossberg,,,reported,,2
Ian,,Frazier,,,reported,,1
Mike,,Males,,,reported,,1
Meda-chesney,,Lind,,,reported,,2
Rachel,,Fabi,,,reported,,1
Nicholas,,Kristof,,,reported,,1
George,,Vecsey,,,reported,,1
Maureen,,Dowd,,,reported,,1
Ginia,,Bellafante,,,reported,,1
Paul,,Krugman,,,reported,,1
John,,Sutherland,,,reported,,1
L.,R.,Shannon,,,reported,,1
Jill,,Stewart,,,reported,,1
Sarah,,Kavanagh,,,reported,,1
Bridget,,Anderson,,,reported,,2
Joe,,Nocera,,,reported,,1
Katherine,,Taylor,,,reported,,1
Tom,,Kuntz,,,reported,,1
Kyle,,Spencer,,,reported,,1
Damon,,Darlin,,,reported,,1
Judith,,Warner,,,reported,,1
Andy,,Webster,,,reported,,1
Dave,,Kehr,,,reported,,1
Eric,,Etheridge,,,reported,,1
Nytimes,,,,,reported,,1
Gordon,,ADAMS,,,reported,,1
Matthew,Leatherman,TRIBUNE,,,reported,,2
Bonnie,,Tsui,,,reported,,1
Joe,,Queenan,,,reported,,1
Caryn,,James,,,reported,,1
Maureen,,Dowd,,,reported,,1
David,,Winzelberg,,,reported,,1
Alexis,,Soloski,,,reported,,1
Roxane,,Gay,,,reported,,1
Damon,,Hack,,,reported,,1
Mike,,Katz,,,reported,,1
Lawrie,,Mifflin,,,reported,,2
Scott,,Atran,,,reported,,1
Sara,,Ivry,,,reported,,1
Thomas,L.,Friedman,,,reported,,1
Mike,,Zwerin,,,reported,,1
International,Herald,Tribune,,,reported,,2
James,,Gorman,,,reported,,1
Richard,,Sima,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Carl,,Zimmer,,,reported,,1
Rebecca,,Robbins,,,reported,,2
Siobhan,,Roberts,,,reported,,1
Roni,Caryn,Rabin,,,reported,,1
Apoorva,,Mandavilli,,,reported,,1
Jack,,Tamisiea,,,reported,,1
Roni,Caryn,Rabin,,,reported,,1
Kate,,Golembiewski,,,reported,,1
Emily,,Anthes,,,reported,,1
Veronique,,Greenwood,,,reported,,1
